No,HEX 코드,HEX 색상,메모,,
1,#B8A9C9,#B8A9C9,키컬러.,,
2,#e4abce,#e4abce,,,
3,#ffafbd,#ffafbd,,,
4,#ffbc9d,#ffbc9d,,,
5,#ffd67c,#ffd67c,,,
6,#f9f871,#f9f871,,,
7,#939dc3,#939dc3,,,
8,#6592b7,#6592b7,,,
9,#3087a1,#3087a1,,,
10,#007b83,#007b83,,,
11,#006c5d,#006c5d,,,
12,#837593,#837593,,,
13,#fbeaff,#fbeaff,,,
14,#005b45,#005b45,,,
15,#c4fcf0,#c4fcf0,,,
16,#4c8076,#4c8076,,,
17,#4b4453,#4b4453,,,
18,#b0a8b9,#b0a8b9,,,
19,#d0a59b,#d0a59b,,,
20,#997168,#997168,,,
21,#005490,#005490,,,
22,#fff7d0,#fff7d0,,,
23,#322740,#322740,,,
24,#009175,#009175,,,
25,#fffade,#fffade,,,
26,#dcf5ff,#dcf5ff,,,
27,#2c8ead,#2c8ead,,,
28,#4dfce0,#4dfce0,,,
29,#00c2a9,#00c2a9,,,
30,#008b75,#008b75,,,
31,#a77ce4,#a77ce4,,,
32,#fef6ff,#fef6ff,,,
33,#88b9ae,#88b9ae,,,
34,#54837a,#54837a,,,
35,#aa915f,#aa915f,,,
36,#38a1b8,#38a1b8,,,
37,#bea6a0,#bea6a0,,,
38,#99c3f5,#99c3f5,,,
39,#4fe2ff,#4fe2ff,,,
40,#a1703d,#a1703d,,,
41,#368f89,#368f89,,,
42,#552d9d,#552d9d,,,
43,#00a9ea,#00a9ea,,,
44,#006b89,#006b89,,,
45,#21363f,#21363f,,,
46,#fdf7ff,#fdf7ff,,,
47,#b579ac,#b579ac,,,
48,#ca7e6c,#ca7e6c,,,
49,#4e415d,#4e415d,,,
50,#00755c,#00755c,,,
51,#00c9a8,#00c9a8,,,
52,#9283a2,#9283a2,,,
53,#6d607d,#6d607d,,,
54,#4a3e59,#4a3e59,,,
55,#2a1f38,#2a1f38,,,
56,#20162e,#20162e,,,
57,#a596b6,#a596b6,,,
58,#625572,#625572,,,
59,#544763,#544763,,,
60,#F4F0E6,#F4F0E6,핵심 시스템,페이퍼 아이보리,[핵심] 앱 기본 배경 (Lightest)
61,#E9E3D4,#E9E3D4,핵심 시스템,빈티지 크림,[핵심] 카드/박스 배경 (Light)
62,#D6CFBF,#D6CFBF,핵심 시스템,웜 그레이지,[핵심] 구분선/비활성 UI
63,#A79E8F,#A79E8F,핵심 시스템,더스티 토프,[핵심] 보조 텍스트/플레이스홀더
64,#6E655A,#6E655A,핵심 시스템,스모크 브라운,[핵심] 아이콘/서브 텍스트
65,#3B362F,#3B362F,핵심 시스템,잉크 차콜,[핵심] 본문 텍스트 (Dark)
66,#221F1A,#221F1A,핵심 시스템,필름 블랙,[핵심] 키컬러. 헤드라인/로고 (Darkest)
67,#F5F4F1,#F5F4F1,뉴트럴 그레이 램프,,그레이 램프 100
68,#E6E4DF,#E6E4DF,뉴트럴 그레이 램프,,그레이 램프 200
69,#CFCCC5,#CFCCC5,뉴트럴 그레이 램프,,그레이 램프 300
70,#B3B0A8,#B3B0A8,뉴트럴 그레이 램프,,그레이 램프 400
71,#918E86,#918E86,뉴트럴 그레이 램프,,그레이 램프 500
72,#6B6862,#6B6862,뉴트럴 그레이 램프,,그레이 램프 600
73,#45433E,#45433E,뉴트럴 그레이 램프,,그레이 램프 700
74,#232220,#232220,뉴트럴 그레이 램프,,그레이 램프 800
75,#F0E8D9,#F0E8D9,세피아 브라운 램프,,세피아 램프 100 (빛바랜 종이)
,#E0D3BB,#E0D3BB,세피아 브라운 램프,,세피아 램프 200
,#C9B694,#C9B694,세피아 브라운 램프,,세피아 램프 300
,#AD9670,#AD9670,세피아 브라운 램프,,세피아 램프 400
,#8C7754,#8C7754,세피아 브라운 램프,,세피아 램프 500
,#6B5A3E,#6B5A3E,세피아 브라운 램프,,세피아 램프 600
,#4C402C,#4C402C,세피아 브라운 램프,,세피아 램프 700
,#32291C,#32291C,세피아 브라운 램프,,세피아 램프 800
,#E3C87E,#E3C87E,레트로 포인트,페이디드 골드,[포인트] 별점 채움색
,#C9A227,#C9A227,레트로 포인트,레트로 머스터드,[포인트] 하이라이트/뱃지
,#B08D3E,#B08D3E,레트로 포인트,다크 오커,[포인트] 머스터드 진한 버전
,#C1704A,#C1704A,레트로 포인트,번트 오렌지,[포인트] 주의(caution) 도트
,#A85B38,#A85B38,레트로 포인트,러스트,[포인트] 번트 오렌지 진한 버전
,#8C4A3C,#8C4A3C,레트로 포인트,브릭 레드브라운,[포인트] 경고(warning) 도트/알림
,#F4E6E4,#F4E6E4,더스티 로즈 램프,,로즈 100
,#E5C9C6,#E5C9C6,더스티 로즈 램프,,로즈 200
,#D3A9A7,#D3A9A7,더스티 로즈 램프,,로즈 300 — 고양이 코/발바닥
,#BE8A8A,#BE8A8A,더스티 로즈 램프,,로즈 400 — 베이비 모드 포인트
,#A06B6E,#A06B6E,더스티 로즈 램프,,로즈 500
,#7E5254,#7E5254,더스티 로즈 램프,,로즈 600
,#EFEDDA,#EFEDDA,올리브 그린 램프,,올리브 100
,#D8D4B0,#D8D4B0,올리브 그린 램프,,올리브 200
,#BBB786,#BBB786,올리브 그린 램프,,올리브 300
,#9C9A60,#9C9A60,올리브 그린 램프,,올리브 400
,#7C7B45,#7C7B45,올리브 그린 램프,,올리브 500 — 양호 상태 도트
,#5D5C33,#5D5C33,올리브 그린 램프,,올리브 600
,#E4E9EC,#E4E9EC,페이디드 데님 램프,,데님 100
,#C0CDD6,#C0CDD6,페이디드 데님 램프,,데님 200
,#9AAEBC,#9AAEBC,페이디드 데님 램프,,데님 300
,#7590A2,#7590A2,페이디드 데님 램프,,데님 400 — 성인 모드 포인트
,#576F82,#576F82,페이디드 데님 램프,,데님 500 — 링크/액션
,#3F5264,#3F5264,페이디드 데님 램프,,데님 600
,#ECE4EC,#ECE4EC,플럼 퍼플 램프,,플럼 100
,#D5C4D5,#D5C4D5,플럼 퍼플 램프,,플럼 200
,#B99FB8,#B99FB8,플럼 퍼플 램프,,플럼 300
,#9D7F9B,#9D7F9B,플럼 퍼플 램프,,플럼 400 — 선택/포커스
,#7D5A78,#7D5A78,플럼 퍼플 램프,,플럼 500
